municipio,periodo,grado_promedio_escolaridad,poblacion_asiste_escuela,poblacion_total,porcentaje_alfabetas,total_viviendas_habitadas,viviendas_con_automovil,viviendas_con_internet
Aconchi,1995,,,2264.0,,511.0,,
Aconchi,2000,6.9,556.0,2420.0,94.7587849910661,578.0,,
Aconchi,2005,7.4,580.0,2452.0,,612.0,,
Aconchi,2010,7.81,667.0,2637.0,95.57,703.0,,
Aconchi,2015,8.2420477,,,96.0297766749379,795.0,,24.654088
Aconchi,2020,8.77755205688167,545.0,2563.0,97.0618034447822,790.0,64.0506329113924,32.1518987341772
Agua Prieta,1995,,,56289.0,,13335.0,,
Agua Prieta,2000,7.7,15566.0,61944.0,97.131572951214,14835.0,,
Agua Prieta,2005,8.3,19545.0,70303.0,,17862.0,,
Agua Prieta,2010,8.8,22662.0,79138.0,97.06,20420.0,,
Agua Prieta,2015,9.222916,,,97.7284934592393,23180.0,,46.171794
Agua Prieta,2020,9.63631300054194,24540.0,91929.0,98.3179899980477,27072.0,75.1258140911782,69.3235642391948
Alamos,1995,,,26075.0,,5500.0,,
Alamos,2000,5.7,6159.0,25152.0,84.6811585476004,5737.0,,
Alamos,2005,6.3,6448.0,24493.0,,6021.0,,
Alamos,2010,6.94,6683.0,25848.0,87.62,6631.0,,
Alamos,2015,7.2885654,,,89.6555390176483,6956.0,,12.93847
Alamos,2020,8.19827910728691,6333.0,24976.0,91.7248041214983,7133.0,51.0948905109489,19.7782144862437
Altar,1995,,,7134.0,,1621.0,,
Altar,2000,6.7,1620.0,7253.0,93.159334876868,1751.0,,
Altar,2005,7.3,1884.0,8357.0,,2070.0,,
Altar,2010,7.65,2362.0,9049.0,95.27,2266.0,,
Altar,2015,8.2368544,,,95.2743665474895,2472.0,,30.753647
Altar,2020,8.72647409172126,2592.0,9492.0,96.437054631829,2665.0,65.8242172764994,48.0950584685025
Arivechi,1995,,,1548.0,,384.0,,
Arivechi,2000,6.3,393.0,1484.0,93.7125748502994,381.0,,
Arivechi,2005,6.5,292.0,1280.0,,375.0,,
Arivechi,2010,7.27,315.0,1253.0,94.66,368.0,,
Arivechi,2015,8.0044943,,,96.0981047937569,367.0,,15.300546
Arivechi,2020,8.18253079507279,237.0,1177.0,96.0850111856823,395.0,69.0537084398977,63.1713554987212
Arizpe,1995,,,3641.0,,946.0,,
Arizpe,2000,6.5,768.0,3396.0,94.3396226415094,927.0,,
Arizpe,2005,6.8,693.0,2959.0,,883.0,,
Arizpe,2010,7.37,711.0,3037.0,95.68,933.0,,
Arizpe,2015,7.7309796,,,95.0544015825915,859.0,,17.852975
Arizpe,2020,8.13361072584374,504.0,2788.0,97.0994475138122,968.0,68.7370600414079,15.1138716356108
Atil,1995,,,777.0,,180.0,,
Atil,2000,7.1,176.0,718.0,93.2806324110672,184.0,,
Atil,2005,7.9,160.0,734.0,,195.0,,
Atil,2010,8.22,155.0,625.0,97.17,168.0,,
Atil,2015,8.3940092,,,96.127562642369,174.0,,6.8965517
Atil,2020,9.07331975560082,134.0,626.0,97.3737373737374,191.0,65.9685863874346,18.3246073298429
Bacadehuachi,1995,,,1380.0,,338.0,,
Bacadehuachi,2000,6.1,306.0,1348.0,94.0919037199125,347.0,,
Bacadehuachi,2005,6.5,288.0,1264.0,,350.0,,
Bacadehuachi,2010,6.89,277.0,1252.0,94.71,363.0,,
Bacadehuachi,2015,6.8384615,,,94.529262086514,357.0,,2.5210084
Bacadehuachi,2020,7.6381074168798,204.0,979.0,95.6577266922095,346.0,47.3988439306358,51.1560693641619
Bacanora,1995,,,1237.0,,294.0,,
Bacanora,2000,5.5,215.0,943.0,89.7744360902256,271.0,,
Bacanora,2005,5.8,155.0,767.0,,233.0,,
Bacanora,2010,6.41,147.0,784.0,92.24,253.0,,
Bacanora,2015,7.135433,,,94.2006269592476,261.0,,26.05364
Bacanora,2020,7.22508591065292,136.0,759.0,94.8453608247423,261.0,60.536398467433,32.5670498084291
Bacerac,1995,,,1535.0,,361.0,,
Bacerac,2000,6.2,346.0,1366.0,95.0819672131148,334.0,,
Bacerac,2005,6.6,332.0,1346.0,,387.0,,
Bacerac,2010,7.43,425.0,1467.0,95.69,412.0,,
Bacerac,2015,7.5501519,,,93.8235294117647,428.0,,19.626168
Bacerac,2020,8.0953947368421,279.0,1221.0,96.3855421686747,380.0,65.4353562005277,31.3984168865435
Bacoachi,1995,,,1693.0,,448.0,,
Bacoachi,2000,6.5,328.0,1496.0,95.5209347614411,420.0,,
