entidad,n_entidad,municipio,n_municipi,localidad,n_localidad,domicilio,clavecct,n_cct,turno,n_turno,tipo,nivel,subnivel,c_caracterizan2,control,subcontrol,periodo,insc_t,hom_t,muj_t,insc_1,hom_1,muj_1,insc_2,hom_2,muj_2,insc_3,hom_3,muj_3,insc_4,hom_4,muj_4,insc_5,hom_5,muj_5,insc_6,hom_6,muj_6,t_doc_p_h,t_doc_p_m,tot_doc_p,puericul_h,puericul_m,tot_puericul,asi_edu_h,asi_edu_m,tot_asi_edu,dirc_cg_h,dirc_cg_m,tot_dcg,dirc_sg_h,dirc_sg_m,tot_dsg,sub_ge_h,sub_ge_m,tot_subge,sub_aca_h,sub_aca_m,tot_subaca,docente_h,docente_m,tot_doc,tutores_h,tutores_m,tot_tutor,d_espfi_h,d_espfi_m,tot_espfi,d_espar_h,d_espar_m,tot_espar,d_espte_h,d_espte_m,tot_espte,d_espid_h,d_espid_m,tot_espid,d_promo_h,d_promo_m,tot_promo,paradoc_h,paradoc_m,tot_paradoc,per_adm_h,per_adm_m,tot_pradm,tot_per,escuelas,gpos_t,gpos_1,gpos_2,gpos_3,gpos_4,gpos_5,gpos_6,gpos_mg,ins_t,ing_t,rei_t,ins_1,ing_1,rei_1,ins_2,ing_2,rei_2,ins_3,ing_3,rei_3,ins_4,ing_4,rei_4,ins_5,ing_5,rei_5,ins_6,ing_6,rei_6,aula_aexi,aula_u_1,aula_u_2,aula_u_3,aula_u_4,aula_u_5,aula_u_6,aula_u_mg,aula_u_t,aula_a_1,aula_a_2,aula_a_3,aula_a_4,aula_a_5,aula_a_6,aula_a_mg,aula_a_t,taller,laborat,cubiculo_e,cubiculo_u,taller_u,egre_hom,egre_muj,egre_tot,regu_hom,regu_muj,regu_tot,doc_1,doc_2,doc_3,doc_4,doc_5,doc_6,doc_mg,doc_tot,tipo_org_docente,tipo_org_alumnos,periodo_escolar
15,MÉXICO,14,ATLACOMULCO,46,SAN JOSÉ TOXI,CALLE CARRETERA ATLACOMULCO A SAN JOSE TOXI,15EJN0225O,CLAUDIO DEBUSSY,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,I2122,53,28,25,2,0,2,32,15,17,19,13,6,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,1,1,0,0,0,1,53,53,0,2,2,0,32,32,0,19,19,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,MULTIGRADO,COMPLETA,2021-2022
21,PUEBLA,147,SANTA INÉS AHUATEMPAN,4,SAN JUAN NEPOMUCENO,CALLE 5 DE MAYO,21ETV0645Y,MODESTO VIDAL,1,MATUTINO,BASICA,SECUNDARIA,TELESECUNDARIA,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,I2019,106,61,45,42,22,20,32,15,17,32,24,8,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,2,1,1,0,0,0,0,106,106,0,42,42,0,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,19,10,29,0,0,0,2,1,1,0,0,0,0,4,COMPLEMENTARIA,NO APLICA EN ESTE NIVEL,2019-2020
13,HIDALGO,71,TLAHUILTEPA,22,LAS PILAS,NINGUNO NINGUNO,13KTV0158I,SECUNDARIA COMUNITARIA,1,MATUTINO,BASICA,SECUNDARIA,SECUNDARIA CONAFE,NO APLICA,PÚBLICO,FEDERAL,I2019,9,4,5,3,1,2,2,1,1,4,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,9,9,0,3,3,0,2,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,MULTIGRADO,NO APLICA EN ESTE NIVEL,2019-2020
15,MÉXICO,82,TEJUPILCO,200,SALITRE DE SAN LUCAS,CALLE CARRETERA TEJUPILCO EL SALITRE,15EJN4171B,MIGUEL HIDALGO,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,I2122,17,6,11,5,2,3,4,2,2,8,2,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,17,17,0,5,5,0,4,4,0,8,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,UNITARIA,INCOMPLETA,2021-2022
31,YUCATÁN,10,CANTAMAYEC,1,CANTAMAYEC,CALLE 19,31DCC0274Z,LOL BEH,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR INDIGENA,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO,I2324,103,52,51,22,7,15,36,19,17,45,26,19,0,0,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,8,1,5,1,2,2,0,0,0,0,103,103,0,22,22,0,36,36,0,45,45,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,5,COMPLEMENTARIA,COMPLETA,2023-2024
18,NAYARIT,17,TEPIC,179,EL FLOREÑO (EL CAPULÍN),NINGUNO NINGUNO,18KJN0576Z,CURSOS COMUNITARIOS,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR CONAFE,NO APLICA,PÚBLICO,FEDERAL,I2020,7,3,4,1,0,1,4,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,7,7,0,1,1,0,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,MULTIGRADO,INCOMPLETA,2020-2021
15,MÉXICO,13,ATIZAPÁN DE ZARAGOZA,1,CIUDAD LÓPEZ MATEOS,CALLE VALLADOLID,15EPR4012D,TIERRA Y LIBERTAD,2,VESPERTINO,BASICA,PRIMARIA,PRIMARIA GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,I2020,114,60,54,18,8,10,13,5,8,17,10,7,17,10,7,20,14,6,29,13,16,2,4,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,4,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,6,1,1,1,1,1,1,0,114,114,0,18,18,0,13,13,0,17,17,0,17,17,0,20,20,0,29,29,0,12,1,1,1,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6,COMPLEMENTARIA,COMPLETA,2020-2021
9,CIUDAD DE MÉXICO,5,GUSTAVO A. MADERO,1,GUSTAVO A. MADERO,AVENIDA ACUEDUCTO DE GUADALUPE,09PES0010T,SECUNDARIA LA RAZA,1,MATUTINO,BASICA,SECUNDARIA,SECUNDARIA GENERAL,NO APLICA,PRIVADO,PARTICULAR,I2324,42,21,21,13,5,8,11,7,4,18,9,9,0,0,0,0,0,0,0,0,0,7,5,12,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,4,1,5,0,0,0,0,1,1,1,0,1,1,2,3,0,1,1,0,0,0,0,0,0,0,1,1,14,1,3,1,1,1,0,0,0,0,42,42,0,13,13,0,11,11,0,18,18,0,0,0,0,0,0,0,0,0,0,9,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,COMPLEMENTARIA,NO APLICA EN ESTE NIVEL,2023-2024
25,SINALOA,1,AHOME,1,LOS MOCHIS,CALLE ANGEL FLORES,25PJN0229X,INSTITUTO CONSTRUCTIVO PHILADELPHIA,1,MATUTINO,BASICA,PREESCOLAR,PREESCOLAR GENERAL,NO APLICA,PRIVADO,PARTICULAR,I2019,11,7,4,0,0,0,5,3,2,6,4,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,5,1,2,0,1,1,0,0,0,0,11,11,0,0,0,0,5,5,0,6,6,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,COMPLEMENTARIA,INCOMPLETA,2019-2020
12,GUERRERO,56,TECOANAPA,40,EL TECHALE (TLALTECHALE),CALLE POR LA SALIDA A OCOTITLAN,12EPR0678I,EMILIO CARRANZA,1,MATUTINO,BASICA,PRIMARIA,PRIMARIA GENERAL,NO APLICA,PÚBLICO,FEDERAL TRANSFERIDO-ESTATAL,I2223,146,78,68,29,13,16,28,13,15,17,11,6,20,9,11,22,10,12,30,22,8,2,2,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,1,1,0,0,0,1,1,146,146,0,29,29,0,28,28,0,17,17,0,20,20,0,22,22,0,30,30,0,7,1,1,1,1,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,4,MULTIGRADO,INCOMPLETA,2022-2023
