municipio,nivel,PRIVADO,PÚBLICO,ratio_pub_priv
ETCHOJOA,PRIMARIA,0.0,30111.0,30111.0
ETCHOJOA,SECUNDARIA,0.0,15335.0,15335.0
BÁCUM,PRIMARIA,0.0,11865.0,11865.0
BENITO JUÁREZ,PRIMARIA,0.0,11384.0,11384.0
ETCHOJOA,PREESCOLAR,0.0,10938.0,10938.0
SAN IGNACIO RÍO MUERTO,PRIMARIA,0.0,7635.0,7635.0
SAN MIGUEL DE HORCASITAS,PRIMARIA,0.0,6234.0,6234.0
ALTAR,PRIMARIA,0.0,5838.0,5838.0
BÁCUM,SECUNDARIA,0.0,5652.0,5652.0
BENITO JUÁREZ,SECUNDARIA,0.0,5473.0,5473.0
GENERAL PLUTARCO ELÍAS CALLES,SECUNDARIA,0.0,4420.0,4420.0
PITIQUITO,PRIMARIA,0.0,4405.0,4405.0
ÁLAMOS,SECUNDARIA,0.0,3809.0,3809.0
SAN IGNACIO RÍO MUERTO,SECUNDARIA,0.0,3596.0,3596.0
BÁCUM,PREESCOLAR,0.0,3439.0,3439.0
URES,PRIMARIA,0.0,3308.0,3308.0
NACO,PRIMARIA,0.0,3256.0,3256.0
BENITO JUÁREZ,PREESCOLAR,0.0,3186.0,3186.0
ALTAR,SECUNDARIA,0.0,2895.0,2895.0
CUMPAS,PRIMARIA,0.0,2811.0,2811.0
SAHUARIPA,PRIMARIA,0.0,2737.0,2737.0
ALAMOS,SECUNDARIA,0.0,2690.0,2690.0
SAN MIGUEL DE HORCASITAS,SECUNDARIA,0.0,2682.0,2682.0
CARBÓ,PRIMARIA,0.0,2656.0,2656.0
BENJAMÍN HILL,PRIMARIA,0.0,2554.0,2554.0
MOCTEZUMA,PRIMARIA,0.0,2422.0,2422.0
PITIQUITO,SECUNDARIA,0.0,2324.0,2324.0
SAN IGNACIO RÍO MUERTO,PREESCOLAR,0.0,2225.0,2225.0
ETCHOJOA,INICIAL,0.0,2131.0,2131.0
URES,SECUNDARIA,0.0,1896.0,1896.0
QUIRIEGO,PRIMARIA,0.0,1688.0,1688.0
CUMPAS,SECUNDARIA,0.0,1531.0,1531.0
PITIQUITO,PREESCOLAR,0.0,1454.0,1454.0
NACO,SECUNDARIA,0.0,1447.0,1447.0
SAHUARIPA,SECUNDARIA,0.0,1410.0,1410.0
BAVIÁCORA,PRIMARIA,0.0,1339.0,1339.0
ACONCHI,PRIMARIA,0.0,1338.0,1338.0
SAN MIGUEL DE HORCASITAS,PREESCOLAR,0.0,1306.0,1306.0
ARIZPE,PRIMARIA,0.0,1286.0,1286.0
CARBÓ,SECUNDARIA,0.0,1249.0,1249.0
BENJAMÍN HILL,SECUNDARIA,0.0,1249.0,1249.0
MOCTEZUMA,SECUNDARIA,0.0,1219.0,1219.0
SÁRIC,PRIMARIA,0.0,1176.0,1176.0
SANTA CRUZ,PRIMARIA,0.0,1123.0,1123.0
OPODEPE,PRIMARIA,0.0,1090.0,1090.0
NACO,PREESCOLAR,0.0,1076.0,1076.0
